Description,Name,Symbol,Symbol-Display,Unicode,Type,Role,Voice,Place,Manner,Flap,Lateral,Liquid,Glide,Sonority,Back,Central,Front,Close,Mid,Open,Round,Rhotic,EML
Voiceless bilabial stop,Lower-case P,p,p,0x70,Consonant,base,0,bilabial,stop,,,,,1,,,,,,,,,E
Voiced bilabial stop,Lower-case B,b,b,0x62,Consonant,base,1,bilabial,stop,,,,,2,,,,,,,,,E
Voiceless alveolar stop,Lower-case T,t,t,0x74,Consonant,base,0,alveolar,stop,,,,,1,,,,,,,,,M
Voiced alveolar stop,Lower-case D,d,d,0x64,Consonant,base,1,alveolar,stop,,,,,2,,,,,,,,,E
Voiceless retroflex stop,Right-tail T,ʈ,ʈ,0x288,Consonant,base,0,retroflex,stop,,,,,1,,,,,,,,,
Voiced retroflex stop,Right-tail D,ɖ,ɖ,0x256,Consonant,base,1,retroflex,stop,,,,,2,,,,,,,,,
Voiceless palatal stop,Lower-case C,c,c,0x63,Consonant,base,0,palatal,stop,,,,,1,,,,,,,,,
Voiced palatal stop,Barred dotless J,ɟ,ɟ,0x25f,Consonant,base,1,palatal,stop,,,,,2,,,,,,,,,
Voiceless velar stop,Lower-case K,k,k,0x6b,Consonant,base,0,velar,stop,,,,,1,,,,,,,,,M
Voiced velar stop,Opentail lower-case G,ɡ,ɡ,0x261,Consonant,base,1,velar,stop,,,,,2,,,,,,,,,M
Voiced velar stop,Latin small letter G (non-IPA),g,g,0x67,Consonant,base,1,velar,stop,,,,,2,,,,,,,,,M
Voiceless uvular stop,Lower-case Q,q,q,0x71,Consonant,base,0,uvular,stop,,,,,1,,,,,,,,,
Voiced uvular stop,Small capital G,ɢ,ɢ,0x262,Consonant,base,1,uvular,stop,,,,,2,,,,,,,,,
Glottal stop,Glottal stop,ʔ,ʔ,0x294,Consonant,base,0,glottal,stop,,,,,1,,,,,,,,,
Epiglottal stop,Barred glottal stop,ʡ,ʡ,0x2a1,Consonant,base,0,epiglottal,stop,,,,,1,,,,,,,,,
Voiced bilabial nasal,Lower-case M,m,m,0x6d,Consonant,base,1,bilabial,nasal,,,,,5,,,,,,,,,E
Voiced labiodental nasal,Left-tail M (at right),ɱ,ɱ,0x271,Consonant,base,1,labiodental,nasal,,,,,5,,,,,,,,,
Voiced alveolar nasal,Lower-case N,n,n,0x6e,Consonant,base,1,alveolar,nasal,,,,,5,,,,,,,,,E
Voiced retroflex nasal,Right-tail N,ɳ,ɳ,0x273,Consonant,base,1,retroflex,nasal,,,,,5,,,,,,,,,
Voiced palatal nasal,Left-tail N (at left),ɲ,ɲ,0x272,Consonant,base,1,palatal,nasal,,,,,5,,,,,,,,,
Voiced velar nasal,Eng; left-tail N (at right),ŋ,ŋ,0x14b,Consonant,base,1,velar,nasal,,,,,5,,,,,,,,,L
Voiced uvular nasal,Small capital N,ɴ,ɴ,0x274,Consonant,base,1,uvular,nasal,,,,,5,,,,,,,,,
Voiceless bilabial fricative,Phi,ɸ,ɸ,0x278,Consonant,base,0,bilabial,fricative,,,,,3,,,,,,,,,
Voiced bilabial fricative,Beta,β,β,0x3b2,Consonant,base,1,bilabial,fricative,,,,,4,,,,,,,,,
Voiceless labiodental fricative,Lower-case F,f,f,0x66,Consonant,base,0,labiodental,fricative,,,,,3,,,,,,,,,M
Voiced labiodental fricative,Lower-case V,v,v,0x76,Consonant,base,1,labiodental,fricative,,,,,4,,,,,,,,,M
Voiceless dental fricative,Theta,θ,θ,0x3b8,Consonant,base,0,dental,fricative,,,,,3,,,,,,,,,L
Voiced dental fricative,Eth,ð,ð,0xf0,Consonant,base,1,dental,fricative,,,,,4,,,,,,,,,L
Voiceless alveolar fricative,Lower-case S,s,s,0x73,Consonant,base,0,alveolar,fricative,,,,,3,,,,,,,,,L
Voiced alveolar fricative,Lower-case Z,z,z,0x7a,Consonant,base,1,alveolar,fricative,,,,,4,,,,,,,,,L
